a	uma
consistently	consistentemente
conspiracy	conspiração
constant	constante
constantly	constantemente
constitute	constituir
constitution	constituição
constitutional	constitucional
constraint	limitação
construct	construir
construction	construção
consult	consultar
consultant	consultor
consume	consumir
consumer	consumidor
consumption	consumo
contact	contato
contain	conter
container	recipiente
contemplate	contemplar
contemporary	contemporâneo
contend	contender
content	conteúdo
contest	competição
context	contexto
continent	continente
continue	continuar
continued	contínuo
continuing	continuando
continuous	contínuo
contract	contrato
contractor	contratante
contrast	contrastar
contribute	contribuir
contribution	contribuição
contributor	contribuidor
control	ao controle
controversial	controverso
controversy	controvérsia
convenience	conveniência
convention	convenção
conventional	convencional
conversation	conversa
conversion	conversão
convert	converter
convey	transmitir
convict	presidiário
conviction	convicção
convince	convencer
convinced	convencido
cook	cozinhar
cookie	bolacha
cooking	cozinhando
cool	frio
cooperate	cooperar
cooperation	cooperação
cooperative	cooperativo
coordinate	coordenar
coordinator	coordenador
cop	policial
cope	lidar
copy	cópia
cord	cordão
core	testemunho
corn	milho
corner	canto
corporate	corporativo
corporation	corporação
correct	correto
correctly	corretamente
correlation	correlação
correspondent	correspondente
corridor	corredor
corruption	corrupção
cost	custo
costly	dispendioso
costume	traje
cottage	casa de campo
cotton	algodão
couch	sofá
could	poderia
council	conselho
counsel	conselho
counseling	aconselhamento
counselor	conselheiro
count	contagem
counter	balcão
counterpart	contrapartida
country	país
county	município
coup	golpe
couple	casal
courage	coragem
course	curso
court	quadra
courtroom	sala de tribunal
cousin	prima
cover	cobertura
coverage	cobertura
cow	vaca
crack	fenda
craft	artesanato
crash	colisão
crawl	rastejamento
crazy	louco
cream	creme
create	crio
creation	criação
creative	criativo
creativity	criatividade
creature	criatura
credibility	credibilidade
credit	crédito
crew	equipe técnica
crime	crime
criminal	criminal
crisis	crise
criteria	critérios
critic	crítico
critical	crítico
criticism	crítica
criticize	criticar
crop	colheita
cross	atravessar
crowd	multidão
crowded	lotado
crucial	crucial
cruel	cruel
cruise	cruzeiro
crush	esmagamento
cry	chora
crystal	cristal
cuban	cubano
cue	deixa
cultural	cultural
culture	cultura
cup	copo
cure	cura
curiosity	curiosidade
curious	curioso
currency	moeda
current	atual
currently	atualmente
curriculum	currículo
curtain	cortina
curve	curva
custody	custódia
custom	personalizadas
customer	cliente
cut	cortar
cute	fofa
cycle	ciclo
dad	pai
daily	diariamente
dam	barragem
damage	dano
damn	droga
dance	dança
dancer	dançarino
dancing	dançando
danger	perigo
dangerous	perigoso
dare	ousar
dark	escuro
darkness	escuridão
data	dados
database	banco de dados
date	encontro
daughter	filha
dawn	amanhecer
day	dia
dead	morto
deadline	prazo de entrega
deadly	mortal
deal	combinado
dealer	revendedor
dear	prezada
death	morte
debate	debate
debris	detritos
debt	dívida
debut	estréia
decade	década
decent	decente
decide	decidir
decision	decisão
deck	convés
declare	declarar
decline	declínio
decorate	decorar
decrease	diminuir
dedicate	dedicar
deem	julgar
deep	profundo
deeply	profundamente
deer	cervo
defeat	derrota
defend	defender
defendant	réu
defender	defensor
defense	defesa
defensive	defensivo
deficit	déficit
define	definir
definitely	definitivamente
definition	definição
degree	grau
delay	atraso
deliberately	deliberadamente
delicate	delicado
delight	delícia
deliver	entregar
delivery	entrega
demand	exigem
democracy	democracia
democrat	democrata
democratic	democrático
demographic	demográfico
demonstrate	demonstrar
demonstration	demonstração
denial	negação
dense	denso
density	densidade
deny	negar
depart	afastar
department	departamento
departure	partida
depend	depender
dependent	dependente
depending	dependendo
depict	descrever
deploy	implantar
deposit	depósito
depressed	deprimido
depression	depressão
depth	profundidade
deputy	deputado
derive	derivar
descend	descer
describe	descrever
description	descrição
desert	deserto
deserve	merecer
design	projeto
designer	desenhista
desire	desejo
desk	escrivaninha
desperate	desesperado
desperately	desesperadamente
despite	apesar de
dessert	sobremesa
destination	destino
destroy	destruir
destruction	destruição
detail	detalhe
detailed	detalhado
detect	detectar
detective	detetive
determination	determinação
determine	determinar
devastating	devastador
develop	desenvolver
developer	desenvolvedor
developing	em desenvolvimento
development	desenvolvimento
developmental	desenvolvimento
device	dispositivo
devil	diabo
devote	devotar
diabetes	diabetes
diagnose	diagnosticar
diagnosis	diagnóstico
dialogue	diálogo
diamond	diamante
diary	diário
dictate	ditar
die	o
diet	dieta
differ	diferir
difference	diferença
different	diferente
differently	diferentemente
difficult	difícil
difficulty	dificuldade
dig	você
digital	digital
dignity	dignidade
dilemma	dilema
dimension	dimensão
diminish	diminuir
dining	jantar
dinner	jantar
dip	mergulho
diplomat	diplomata
diplomatic	diplomático
direct	direto
direction	direção
directly	diretamente
director	diretor
dirt	sujeira
dirty	sujo
disability	incapacidade
disabled	desativado
disagree	discordar
disappear	desaparecer
disappointed	desapontado
disappointment	desapontamento
disaster	desastre
disc	disco
discipline	disciplina
disclose	divulgar
discount	desconto
discourage	desencorajar
discourse	discurso
discover	descobrir
discovery	descoberta
discrimination	discriminação
discuss	discutir
discussion	discussão
disease	doença
dish	prato
disk	disco
dismiss	demitir
disorder	desordem
display	display
dispute	disputa
dissolve	dissolver
distance	distância
distant	distante
distinct	distinto
distinction	distinção
distinctive	distintivo
distinguish	distinguir
distract	distrair
distribute	distribuir
distribution	distribuição
district	distrito
disturb	perturbar
disturbing	perturbador
diverse	diverso
diversity	diversidade
divide	dividir
divine	divino
division	divisão
divorce	divórcio
dna	dna
do	faz
dock	doca
doctor	médico
doctrine	doutrina
document	documento
documentary	documentário
dog	cachorro
doll	boneca
domain	domínio
domestic	doméstico
dominant	dominante
dominate	dominar
donate	doar
donation	doação
donor	doador
don't	não
door	porta
doorway	porta
dose	dose
dot	ponto
double	duplo
doubt	dúvida
dough	massa
down	baixa
downtown	centro da cidade
dozen	dúzia
draft	rascunho
drag	arrasto
drain	drenar
drama	drama
dramatic	dramático
dramatically	dramaticamente
draw	desenhar
drawer	gaveta
drawing	desenho
dream	sonhar
dress	vestido
dried	seco
drift	deriva
drill	broca
drink	bebe
drinking	bebendo
drive	dirigir
driver	condutor
driveway	entrada da garagem
driving	dirigindo
drop	solta
drown	afogar
drug	droga
drum	tambor
drunk	bêbado
dry	seca
duck	pato
due	devido
dumb	burro
dump	lixeira
during	durante
dust	poeira
dutch	holandês
duty	dever
dying	moribundo
dynamic	dinâmico
dynamics	dinâmica
each	cada
eager	ansioso
ear	orelha
early	cedo
earn	ganhar
earnings	ganhos
earth	terra
earthquake	terremoto
ease	facilidade
easily	facilmente
east	leste
eastern	oriental
easy	fácil
eat	comer
eating	comendo
echo	eco
ecological	ecológico
economic	econômico
economically	economicamente
economics	economia
economist	economista
economy	economia
ecosystem	ecossistema
edge	borda
edit	editar
edition	edição
editor	editor
educate	educar
education	educação
educational	educacional
educator	educador
effect	efeito
effective	eficaz
effectively	eficazmente
effectiveness	eficácia
efficiency	eficiência
efficient	eficiente
effort	esforço
egg	ovo
ego	eu
eight	oito
eighth	oitavo
either	ou
elaborate	elaborar
elbow	cotovelo
elder	mais velho
elderly	idoso
elect	eleito
election	eleição
electric	elétrico
electrical	elétrico
electricity	eletricidade
electronic	eletrônico
electronics	eletrônica
elegant	elegante
element	elemento
elementary	elementar
elephant	elefante
elevator	elevador
eleven	onze
eligible	elegível
eliminate	eliminar
elite	elite
else	outro
elsewhere	em outro lugar
e-mail	o email
embarrassed	envergonhado
embrace	abraçar
emerge	emergir
emergency	emergência
emerging	emergentes
emission	emissão
emotion	emoção
emotional	emocional
emotionally	emocionalmente
emphasis	ênfase
emphasize	enfatizar
empire	império
employ	empregar
employee	empregado
employer	empregador
employment	emprego
empty	vazio
enable	habilitar
enact	decretar
encounter	encontro
encourage	encorajar
encouraging	encorajando
end	fim
endless	interminável
endorse	endossar
endure	suportar
enemy	inimigo
energy	energia
enforce	fazer cumprir
enforcement	aplicação
engage	engajar
engagement	noivado
engine	motor
engineer	engenheiro
engineering	engenharia
english	inglês
enhance	aumentar
enjoy	apreciar
enormous	enorme
enough	suficiente
enroll	inscrever
ensure	garantir
enter	entrar
enterprise	empresa
entertainment	diversão
enthusiasm	entusiasmo
entire	todo
entirely	inteiramente
entitle	intitular
entity	entidade
entrance	entrada
entrepreneur	empresário
entry	entrada
envelope	envelope
environment	ambiente
environmental	de meio ambiente
envision	visionar
epidemic	epidemia
episode	episódio
equal	igual
equality	igualdade
equally	igualmente
equation	equação
equip	equipar
equipment	equipamento
equity	capital próprio
equivalent	equivalente
era	era
error	erro
escape	fuga
especially	especialmente
essay	ensaio
essence	essência
essential	essencial
essentially	essencialmente
establish	estabelecer
establishment	estabelecimento
estate	propriedade
estimate	estimativa
estimated	estimado
etc	etc
ethical	ético
ethics	ética
ethnic	étnico
european	europeu
evaluate	avalie
evaluation	avaliação
even	até
evening	tarde
event	evento
eventually	afinal
ever	sempre
every	cada
everybody	todo mundo
everyday	todos os dias
everyone	todo o mundo
everything	tudo
everywhere	em toda parte
evidence	evidência
evident	evidente
evil	mal
evolution	evolução
evolve	desenvolver
exact	exato
exactly	exatamente
exam	exame
examination	exame
examine	examinar
example	exemplo
exceed	ultrapassarem
excellent	excelente
except	exceto
exception	exceção
excessive	excessivo
exchange	intercâmbio
excited	animado
excitement	excitação
exciting	emocionante
exclude	excluir
exclusive	exclusivo
exclusively	exclusivamente
excuse	desculpa
execute	executar
execution	execução
executive	executivo
exercise	exercício
exhaust	escape
exhibit	exposição
exhibition	exposição
exist	existir
existence	existência
existing	existir
exit	saída
exotic	exótico
expand	expandir
expansion	expansão
expect	esperar
expectation	expectativa
expected	esperado
expedition	expedição
expense	despesa
expensive	caro
experience	experiência
experienced	experimentado
experiment	experiência
experimental	experimental
expert	especialista
expertise	perícia
explain	explicar
explanation	explicação
explicit	explícito
explode	explodir
exploit	explorar
exploration	exploração
explore	explorar
explosion	explosão
export	exportação
expose	expor
exposure	exposição
express	expressar
expression	expressão
extend	ampliar
extended	alargado
extension	extensão
extensive	extenso
extent	extensão
external	externo
extra	extra
extraordinary	extraordinário
extreme	extremo
extremely	extremamente
eye	olho
eyebrow	sobrancelha
fabric	tecido
face	cara
facilitate	facilitar
facility	instalação
fact	fato
factor	fator
factory	fábrica
faculty	faculdade
fade	desvanece-
fail	falhou
failure	falha
faint	desmaio
fair	feira
fairly	razoavelmente
faith	fé
fall	cair
false	false
fame	fama
familiar	familiar
family	família
famous	famoso
fan	ventilador
fantastic	fantástico
fantasy	fantasia
far	longe
fare	tarifa
farm	fazenda
farmer	agricultor
fascinating	fascinante
fashion	moda
fast	velozes
faster	mais rápido
fat	gorda
fatal	fatal
fate	destino
father	pai
fatigue	fadiga
fault	falha
favor	favorecer
favorable	favorável
favorite	favorito
fear	medo
feather	pena
feature	característica
federal	federal
fee	taxa
feed	alimentar
feedback	comentários
feel	sentir
feeling	sentindo-me
fellow	companheiro
female	feminino
feminist	feminista
fence	cerca
festival	festival
fever	febre
few	poucos
fewer	menos
fiber	fibra
fiction	ficção
field	campo
fierce	feroz
fifteen	quinze
fifth	quinto
fifty	cinquenta
fight	luta
fighter	lutador
fighting	luta
figure	figura
file	arquivo
fill	preencher
film	filme
filter	filtro
final	final
finally	finalmente
finance	finanças
financial	financeiro
find	encontrar
finding	descoberta
fine	bem
finger	dedo
finish	terminar
fire	fogo
firm	empresa
firmly	firmemente
first	primeiro
fiscal	fiscal
fish	peixe
fisherman	pescador
fishing	pescaria
fist	punho
fit	caber
fitness	ginástica
five	cinco
fix	consertar
fixed	fixo
flag	bandeira
flame	chama
flash	flash
flat	plano
flavor	sabor
flee	fugir
fleet	frota
flesh	carne
flexibility	flexibilidade
flexible	flexível
flight	vôo
flip	giro
float	flutuador
flood	inundação
floor	andar
flour	farinha
flow	fluxo
flower	flor
fluid	fluido
fly	mosca
flying	vôo
focus	foco
fog	nevoeiro
fold	dobrar
folk	povo
follow	segue
following	segue
food	comida
fool	enganar
foot	pé
football	futebol
for	para
forbid	proibir
force	força
forehead	testa
foreign	estrangeiro
foreigner	estrangeiro
forest	floresta
forever	para sempre
forget	esqueço
forgive	perdoar
fork	forquilha
form	formato
formal	formal
format	formato
formation	formação
former	antigo
formerly	antigamente
formula	fórmula
forth	para frente
fortunately	felizmente
fortune	fortuna
forty	quarenta
forum	fórum
forward	para a frente
foster	adotivo
found	encontrado
foundation	fundação
founder	fundador
four	quatro
fourth	quarto
fraction	fração
fragile	frágil
fragment	fragmento
frame	quadro
framework	estrutura
franchise	franquia
frankly	francamente
fraud	fraude
free	livre
freedom	liberdade
freely	livremente
freeze	congelar
french	francês
frequency	freqüência
frequent	freqüente
frequently	freqüentemente
fresh	fresca
freshman	calouro
friend	amigos
friendly	amigáveis
friendship	amizade
from	a partir da
front	frente
frontier	fronteira
frown	carranca
frozen	congeladas
fruit	fruta
frustrate	frustrar
frustration	frustração
fucking	porra
fuel	combustível
full	cheio
full-time	tempo integral
fully	totalmente
fun	diversão
function	função
functional	funcional
fund	fundo
fundamental	fundamental
funding	financiamento
funeral	funeral
funny	engraçado
fur	pele
furniture	mobiliário
furthermore	além disso
future	futuro
gain	ganho
galaxy	galáxia
gallery	galeria
game	jogo
gang	gangue
gap	lacuna
garage	garagem
garbage	lixo
garden	jardim
garlic	alho
gas	gás
gasoline	gasolina
gate	portão
gather	reunir
gathering	coleta
gay	homossexual
gaze	olhar fixo
gear	engrenagem
gender	gênero
gene	gene
general	geral
generally	geralmente
generate	gerar
generation	geração
generous	generoso
genetic	genético
genius	gênio
genre	gênero
gentle	suave
gentleman	cavalheiro
gently	suavemente
genuine	genuíno
german	alemão
gesture	gesto
get	conseguir
ghost	fantasma
giant	gigante
gift	presente
gifted	talentoso
girl	menina
girlfriend	namorada
give	dar
given	dado
glad	feliz
glance	relance
glass	vidro
glimpse	vislumbre
global	global
globe	globo
glory	glória
glove	luva
go	ir
goal	objetivo
goat	cabra
god	deus
gold	ouro
golden	dourado
golf	golfe
good	boa
govern	governar
government	governo
governor	governador
grab	agarrar
grace	graça
grade	grau
gradually	gradualmente
graduate	diplomado
graduation	graduação
grain	grão
grand	grande
grandchild	neto
grandfather	avô
grandmother	avó
grandparent	avô
grant	conceder
grape	uva
grasp	aperto
grass	grama
grateful	grato
grave	grave
gravity	gravidade
gray	cinza
great	ótimo
greatest	maior
greatly	grandemente
greek	grego
green	verde
greet	cumprimentar
grief	aflição
grin	sorriso largo
grip	aperto
grocery	mercearia
gross	bruto
ground	chão
group	grupo
grow	crescer
growing	crescente
growth	crescimento
guarantee	garantia
guard	guarda
guess	adivinhar
guest	convidado
guidance	orientação
guide	guia
guideline	diretriz
guilt	culpa
guilty	culpado
guitar	violão
gun	pistola
gut	intestino
guy	cara
gym	academia
ha	ele possui
habit	hábito
habitat	habitat
hair	cabelo
half	metade
halfway	a meio caminho
hall	corredor
hallway	entrada
hand	mão
handful	punhado
handle	manusear
handsome	bonito
hang	aguentar
happen	acontecer
happily	felizmente
happiness	felicidade
happy	feliz
harassment	assédio
hard	difícil
hardly	dificilmente
hardware	equipamento
harm	dano
harmony	harmonia
harsh	áspero
harvest	colheita
hat	chapéu
hate	odiar
haul	arrastamento
have	ter
hay	lá
hazard	perigo
he	ele
head	cabeça
headache	dor de cabeça
headline	título
headquarters	sede
heal	curar
health	saúde
health-care	assistência médica
healthy	saudável
hear	ouvir
hearing	audição
heart	coração
heat	calor
heaven	céu
heavily	pesadamente
heavy	pesado
heel	calcanhar
height	altura
helicopter	helicóptero
hell	inferno
hello	olá
helmet	capacete
help	socorro
helpful	útil
hence	conseqüentemente
her	dela
herb	erva
here	aqui
heritage	herança
hero	herói
hers	dela
herself	ela mesma
hesitate	hesitar
hey	ei
hi	oi
